"LastModified","Created","SizeKB","RelativePath"
"2026-04-17 04:23","2026-04-04","3.4","Conscious Architect University\Launch Manual\Chapter_15_Coaching_Epistemology\Chapter_Syllabus.md"
"2026-04-17 04:23","2026-04-04","3.5","Conscious Architect University\Launch Manual\Chapter_14_Content_Machines\Chapter_Syllabus.md"
"2026-04-17 04:23","2026-04-17","3.2","Conscious Architect University\Launch Manual\Chapter_16_100x_Sales_Engine\Chapter_Syllabus.md"
"2026-04-17 04:23","2026-04-17","2.8","Conscious Architect University\Launch Manual\Chapter_18_Persistence_Hardening\Chapter_Syllabus.md"
"2026-04-17 04:23","2026-04-17","3","Conscious Architect University\Launch Manual\Chapter_17_Platform_Architecture\Chapter_Syllabus.md"
"2026-04-17 04:22","2026-04-04","3.7","Conscious Architect University\Launch Manual\Chapter_13_Voice_Pedagogy\Chapter_Syllabus.md"
"2026-04-17 04:22","2026-04-04","16.1","Conscious Architect University\Launch Manual\launch_manual_unit_registry.md"
"2026-04-17 03:01","2026-04-17","6.8","lab\The Harness\Audits\MCDA_Harness_UI_Cognitive_Audit.md"
"2026-04-17 03:01","2026-04-17","3.6","lab\The Harness\Audits\MCDA_Logit_Bias_Sampling_Audit.md"
"2026-04-17 02:52","2026-04-04","6.3","Conscious Architect University\Launch Manual\Chapter_07_Skill_Compilation_ACE\Chapter_Syllabus.md"
"2026-04-17 02:52","2026-04-04","6.7","Conscious Architect University\Launch Manual\Chapter_08_Hypergraph_Memory\Chapter_Syllabus.md"
"2026-04-17 02:51","2026-04-04","6.4","Conscious Architect University\Launch Manual\Chapter_06_Sovereign_Agentic_Harness\Chapter_Syllabus.md"
"2026-04-17 02:50","2026-04-17","6.6","Conscious Architect University\Launch Manual\Chapter_04_Matrix_Of_Edging\Chapter_Syllabus.md"
"2026-04-17 02:49","2026-04-17","7.2","Conscious Architect University\Launch Manual\Chapter_03_Activation_Steering\Chapter_Syllabus.md"
"2026-04-17 02:48","2026-04-17","5.7","Conscious Architect University\Launch Manual\Chapter_02_Transformer_Physics\Chapter_Syllabus.md"
"2026-04-17 02:41","2026-04-17","40.3","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\Limits of n-gram Style Control for LLMs via Logit-Space Injection.md"
"2026-04-17 02:41","2026-04-17","65.8","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\FlashSampling Fast and Memory-Efficient Exact Sampling.md"
"2026-04-17 02:41","2026-04-17","50.6","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\Logits-Based Finetuning.md"
"2026-04-16 20:44","2026-04-16","7.5","lab\CCP APRIL Updates\Musk_Algorithm_100x_Sales_Synthesis.md"
"2026-04-16 19:56","2026-04-04","9.7","Conscious Architect University\Launch Manual\Chapter_09_Agentic_Core\Chapter_Syllabus.md"
"2026-04-16 19:34","2026-04-16","77.9","lab\The Harness\SkVM Compiling Skills for Efficient Execution Everywhere.md"
"2026-04-16 19:34","2026-04-16","141.3","lab\The Harness\SemaClaw A Step Towards General-Purpose Personal AI Agents through Harness Engineering.md"
"2026-04-16 19:34","2026-04-16","95.7","lab\The Harness\RationalRewards Reasoning Rewards Scale Visual Generation Both Training and Test Time.md"
"2026-04-16 17:30","2026-04-16","65.9","my first million\Ex-Tesla President reveals EVERYTHING Elon does to win.md"
"2026-04-16 02:09","2026-04-15","29.4","lab\CCP APRIL Updates\MCDA_Audit_Text_Finetuning_Consolidated.md"
"2026-04-16 02:09","2026-04-17","29.4","lab\The Harness\Audits\MCDA_Audit_Text_Finetuning_Consolidated.md"
"2026-04-15 20:46","2026-04-15","14","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\24 Phrasings That Activate Pattern-Conditioned Pathways.md"
"2026-04-15 20:26","2026-04-15","15.9","lab\CCP APRIL Updates\MCDA_Audit_Batch_5_Text_Finetuning.md"
"2026-04-15 19:43","2026-04-15","77.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Which Heads Matter for Reasoning RL-Guided KV Cache Compression.md"
"2026-04-15 19:42","2026-04-15","63.8","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Sparse-vDiT Unleashing the Power of Sparse Attention to Accelerate Video Diffusion Transformers.md"
"2026-04-15 19:42","2026-04-15","34.8","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\SparseGrad A Selective Method for Efficient Fine-tuning of MLP Layers.md"
"2026-04-15 19:42","2026-04-15","67.7","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\The Residual Stream Is All You Need On the Redundancy of the KV Cache in Transformer Inference.md"
"2026-04-15 19:42","2026-04-15","97.7","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Thinking Sparks Emergent Attention Heads in Reasoning Models During Post Training.md"
"2026-04-15 19:41","2026-04-15","83.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Not All Heads Matter A Head-Level KV Cache Compression Method with Integrated Retrieval and Reasoning.md"
"2026-04-15 19:41","2026-04-15","164.7","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Nemotron 3 Super Open, Efficient Mixture-of-Experts Hybrid Mamba-Transformer Model for Agentic Reasoning.md"
"2026-04-15 19:41","2026-04-15","72.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Polar Sparsity High Throughput Batched LLM Inferencing with Scalable Contextual Sparsity.md"
"2026-04-15 19:41","2026-04-15","21.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Residual Stream Duality in Modern Transformer Architectures.md"
"2026-04-15 19:40","2026-04-15","49.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Knocking-Heads Attention.md"
"2026-04-15 19:40","2026-04-15","69.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Making Large Language Models Efficient Dense Retrievers.md"
"2026-04-15 19:39","2026-04-15","79.8","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Attention Illuminates LLM Reasoning The Preplan-and-Anchor Rhythm Enables Fine-Grained Policy Optimization.md"
